categoryName,city,reviewsCount,stars,state,text,title,url
Emergency room,Medina de Pomar,0.0,,Burgos,,Bomberos Forestales Medina de Pomar (Burgos),https://www.google.com/maps/search/?api=1&query=Bomberos%20Forestales%20Medina%20de%20Pomar%20(Burgos)&query_place_id=ChIJ7QsbGNQ9Tw0RKwvI6cAb_7s
Air force base,Medina de Pomar,4.0,5.0,Burgos,,Helipuerto HT-ELIF BRAVO 1. Base De Incendios forestales,https://www.google.com/maps/search/?api=1&query=Helipuerto%20HT-ELIF%20BRAVO%201.%20Base%20De%20Incendios%20forestales&query_place_id=ChIJ24ChAMQ8Tw0RrplUqRW29D0
Heliport,Medina de Pomar,0.0,,Burgos,,Helicóptero Forestal. HT-ELIF BRAVO 1. INFOCAL,https://www.google.com/maps/search/?api=1&query=Helic%C3%B3ptero%20Forestal.%20HT-ELIF%20BRAVO%201.%20INFOCAL&query_place_id=ChIJ_bp6DQA9Tw0R8IWYWEdRD_s
Corporate office,Medina de Pomar,11.0,5.0,Burgos,Muy buen sitio y la gente muy amables,Serrería Temiño,https://www.google.com/maps/search/?api=1&query=Serrer%C3%ADa%20Temi%C3%B1o&query_place_id=ChIJx7d2T7g8Tw0RuNh75U_QeWc
Summer camp organizer,Arija,4.0,5.0,Burgos,"He trabajado varios años como monitora, el sitio es espectacular y el ambiente entre monitores y niños es muy bueno. La comida esta muy rica y los cuartos son luminosos y amplios. Los niños se lo pasan super bien y hacen todo tipo de actividades muy diversas. Los monitores estamos siempre muy atentos para que los niños se sientan a gusto. Como monitora la experiencia es super enriquecedora 100% recomendable.",Yeeha! Camp,https://www.google.com/maps/search/?api=1&query=Yeeha!%20Camp&query_place_id=ChIJzZMMCofbSA0RYZ_4kALaUo4
Lumber store,Santurde,21.0,5.0,Burgos,"Le hemos comprado un camión de leña y tanto la leña como el servicio para mí inmejorables, muchas gracias.",Maderas Temiño,https://www.google.com/maps/search/?api=1&query=Maderas%20Temi%C3%B1o&query_place_id=ChIJsz-x4Lg8Tw0RaUzltVCVTBg
Tourist attraction,Arija,74.0,5.0,Burgos,,Embarcadero de Arija,https://www.google.com/maps/search/?api=1&query=Embarcadero%20de%20Arija&query_place_id=ChIJd5FndAHbSA0Rzg-ZBT3dDA4
Sports club,Arija,0.0,,Burgos,,Club de vela y remo Yeeha! Camp,https://www.google.com/maps/search/?api=1&query=Club%20de%20vela%20y%20remo%20Yeeha!%20Camp&query_place_id=ChIJRZ2NV97bSA0RE9s70V8pg18
Skateboard park,Arija,3.0,3.0,Burgos,"Poka kosa, un tubo un banco y una mini ramp con poko espacio alrededor..eso si, pista de tenis y paddle abierto al publico.",Skatepark Arija de abajo,https://www.google.com/maps/search/?api=1&query=Skatepark%20Arija%20de%20abajo&query_place_id=ChIJA03rVpjbSA0RERj-lG2BrLM
Bridge,Arija,4.0,5.0,Burgos,"Julio 2024,,,
Histórica línea ➡️ ferroviaria 🚂,,, una maravilla de trayecto él que cubre el tren de la Robla,,,",Puente del Tren de la Robla,https://www.google.com/maps/search/?api=1&query=Puente%20del%20Tren%20de%20la%20Robla&query_place_id=ChIJ48ZAZFnbSA0RoafsGrqMCJI
Cottage,Arija,6.0,5.0,Burgos,,La Casa De Arija,https://www.google.com/maps/search/?api=1&query=La%20Casa%20De%20Arija&query_place_id=ChIJc-fMclXaSA0RWRMYbvwKGP8
